ID,LAT,LON,COUNTRY,IRGC_ID,K6,wc2.1_30s_elev,bio16,bio17,bio18,growingseason,temp1,temp2,temp3,temp4,temp6,bio3.y,bio4.y,gdd,prec2,prec3,avg_prec_year,prec4,vpd_values,hurs_values,rsds_values,cmi_values
IRGC_10214,16.472778,106.660556,Vietnam,IRGC_10214,no_group,227,8833,774,5595,Avg_9,2927.75,2950,2998.16666666667,3034.5,11635.5,4.6399998664856,2677,1734,2652.5,1113.75,17488,727,1046.1,66.31,17.258,8.2
IRGC_10233,16,106,Vietnam,IRGC_10233,Cambodia,317,14571,194,7284,Avg_8,2926.375,2952.5,2992.33333333333,3022,12619,5.55000019073486,1667,1793,4566,1352,23441,1018,1109.9,64.4,17.752,55.8
IRGC_11462,16,103,Thailand,IRGC_11462,no_group,198,6624,266,4583,Avg_8,2939.875,2970,3019.83333333333,3051,14632.875,5.19000005722046,2183,1994.5,1835.5,884.375,13471,783,1486.8,58.51,18.652,-47.3
IRGC_117276,35.859167,127.335556,SouthKorea,IRGC_117276,China,396,9200,1284,9200,Avg_10,2741.5,2778.5,2929,2989.5,6401.25,2.5699999332428,9162,127,2566.5,642.125,16046,833,622.1,59.22,14.922,47.6
IRGC_122298,-4.8133889,104.7520944,Indonesia,IRGC_122298,Indonesia,68,11494,2910,4826,Avg_11,2958.5,2960,2997.66666666667,3028.5,12906.125,7.63000011444092,413,1959.5,1235,2868.75,27268,521,1150.7,66.59,17.896,83.8
IRGC_12931,15.383056,106.2,Laos,IRGC_12931,Thailand,811,15052,677,9295,Avg_8,2901.875,2929,2965.33333333333,2990.5,12233.25,5.53000020980835,1499,1454.5,4563,1791.875,28908,803,951,64.52,17.617,103.2
IRGC_14975,11.616389,106.649722,Vietnam,IRGC_14975,no_group,85,10679,497,3798,Avg_6,2958.875,2970,3013,3034.5,13205.875,6.44999980926514,1007,2065,1691,2251.875,21920,762,1339.8,63.37,18.498,36.1
IRGC_16724,16.472778,106.660556,Vietnam,IRGC_16724,no_group,227,8833,774,5595,Avg_9,2927.75,2950,2998.16666666667,3034.5,11635.5,4.6399998664856,2677,1734,2652.5,1113.75,17488,727,1046.1,66.31,17.258,8.2
IRGC_16800,16.472778,106.660556,Vietnam,IRGC_16800,Cambodia,227,8833,774,5595,Avg_9,2927.75,2950,2998.16666666667,3034.5,11635.5,4.6399998664856,2677,1734,2652.5,1113.75,17488,727,1046.1,66.31,17.258,8.2
IRGC_16871,11,108,Vietnam,IRGC_16871,China,30,7472,329,4331,Avg_9,2953.875,2966.5,3004.66666666667,3034,15561.25,6.30000019073486,838,1996,2451,829.375,15338,770,1249.7,64.16,19.883,-36.3
