"Locus_ID","LOC","ID.x","CHROM","chain","sig_SNP","sig_SNP_POS","sig_SNP_name","peak_start","peak_end","snps_in_chain","dist.focal.snp","source","feature","start","end","score","strand","frame","descriptor","func","Transcript_ID","Description","RAP.DB.Gene.Symbol.Synonym.s.","RAP.DB.Gene.Name.Synonym.s.","CGSNL.Gene.Symbol","CGSNL.Gene.Name","Oryzabase.Gene.Symbol.Synonym.s.","Oryzabase.Gene.Name.Synonym.s.","GO","InterPro","Transcript.evidence","ORF.evidence","Curation.Date","Literature.PMID","Oryzabase.Trait.Gene.ID","Subcellular.location","Comment","B5toI1","Trait_Oncology"
"Os01g0129800","LOC_Os01g03900","OsR498G0100101900.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1567103,1569368,".","+",".","ID=OsR498G0100101900.01;Name=OsR498G0100101900.01;","expressed protein","Os01t0129800-01","Conserved hypothetical protein.","","","","","","","","CLAVATA3/ESR (CLE)-related protein 27/43 (IPR040274)","AK107910 (DDBJ, Best hit)","B8AD29 (UniProt)","","","","","","",""
"Os01g0130000","LOC_Os01g03914","OsR498G0100102600.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1571126,1578668,".","-",".","ID=OsR498G0100102600.01;Name=OsR498G0100102600.01;","cation efflux family protein, putative, expressed","Os01t0130000-02","Similar to metal tolerance protein C3.","","","MTP9","METAL TOLERANCE PROTEIN 9","OsMTP9","metal tolerance protein 9","Biological Process: monoatomic cation transport (GO:0006812), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Molecular Function: monoatomic cation transmembrane transporter activity (GO:0008324)","Cation efflux protein (IPR002524), Cation efflux transmembrane domain superfamily (IPR027469), Cation efflux protein, cytoplasmic domain (IPR027470), Cation efflux protein, cytoplasmic domain superfamily (IPR036837)","AK060150 (DDBJ, Best hit)","Q9LDU0 (UniProt)","","","13412","","","","iron sensitivity (TO:0000224) | gibberellic acid sensitivity (TO:0000166) | manganese sensitivity (TO:0000073)"
"Os01g0130000","LOC_Os01g03914","OsR498G0100102600.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1571126,1578668,".","-",".","ID=OsR498G0100102600.01;Name=OsR498G0100102600.01;","cation efflux family protein, putative, expressed","Os01t0130000-01","Cation efflux protein family protein.","","","MTP9","METAL TOLERANCE PROTEIN 9","OsMTP9","metal tolerance protein 9","Biological Process: monoatomic cation transport (GO:0006812), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Molecular Function: monoatomic cation transmembrane transporter activity (GO:0008324)","Cation efflux protein (IPR002524), Cation efflux transmembrane domain superfamily (IPR027469), Cation efflux protein, cytoplasmic domain (IPR027470), Cation efflux protein, cytoplasmic domain superfamily (IPR036837)","AK061853 (DDBJ, Best hit)","Q9LDU0 (UniProt)","","","13412","","","","iron sensitivity (TO:0000224) | gibberellic acid sensitivity (TO:0000166) | manganese sensitivity (TO:0000073)"
"Os01g0130200","LOC_Os01g03940","OsR498G0100103600.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1582722,1583935,".","-",".","ID=OsR498G0100103600.01;Name=OsR498G0100103600.01;","expressed protein","Os01t0130200-00","Hypothetical conserved gene.","","","NRR","NEGATIVE REGULATOR OF RESISTANCE","OsNRR, OsNRR1, NRR1","negative regulator of resistance","Biological Process: regulation of systemic acquired resistance (GO:0010112)","NPR1/NH1-interacting protein (IPR031425)","ab initio prediction","Q5EN53 (UniProt)","","","9824","","","Exon-intron structures and exon sequences are different between Build 5 and IRGSP-1.0.","bacterial blight disease resistance (TO:0000175) | disease resistance (TO:0000112) | plant growth hormone sensitivity (TO:0000401)"
"Os01g0130400","LOC_Os01g03950","OsR498G0100105200.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1599952,1601942,".","-",".","ID=OsR498G0100105200.01;Name=OsR498G0100105200.01;","glycosyl hydrolase, family 31, putative, expressed","Os01t0130400-01","Similar to Alpha-xylosidase precursor (Fragment).","","","ONG4","ALPHA-GLUCOSIDASE 4","","Alpha-D-glucoside glucohydrolase 4","Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: carbohydrate binding (GO:0030246), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)","Glycoside hydrolase family 31, TIM barrel domain (IPR000322), Galactose mutarotase-like domain superfamily (IPR011013), Glycosyl hydrolase, all-beta (IPR013780), Glycoside hydrolase superfamily (IPR017853), Glycoside hydrolase family 31, N-terminal domain (IPR025887), Glycosyl hydrolases family 31, active site (IPR030458), Glycosyl hydrolases family 31, conserved site (IPR030459), Glycosyl hydrolase family 31, C-terminal domain (IPR048395)","AK102309 (DDBJ, Best hit), AK063966 (DDBJ, Best hit)","B5U8Y9 (UniProt)","","","8649","","","",""
"Os01g0130400","LOC_Os01g03950","OsR498G0100104900.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1597631,1602518,".","+",".","ID=OsR498G0100104900.01;Name=OsR498G0100104900.01;","glycosyl hydrolase, family 31, putative, expressed","Os01t0130400-01","Similar to Alpha-xylosidase precursor (Fragment).","","","ONG4","ALPHA-GLUCOSIDASE 4","","Alpha-D-glucoside glucohydrolase 4","Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: carbohydrate binding (GO:0030246), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)","Glycoside hydrolase family 31, TIM barrel domain (IPR000322), Galactose mutarotase-like domain superfamily (IPR011013), Glycosyl hydrolase, all-beta (IPR013780), Glycoside hydrolase superfamily (IPR017853), Glycoside hydrolase family 31, N-terminal domain (IPR025887), Glycosyl hydrolases family 31, active site (IPR030458), Glycosyl hydrolases family 31, conserved site (IPR030459), Glycosyl hydrolase family 31, C-terminal domain (IPR048395)","AK102309 (DDBJ, Best hit), AK063966 (DDBJ, Best hit)","B5U8Y9 (UniProt)","","","8649","","","",""
"Os01g0130900","LOC_Os01g03980","OsR498G0100106000.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1610277,1611366,".","-",".","ID=OsR498G0100106000.01;Name=OsR498G0100106000.01;","expressed protein","Os01t0130900-01","Conserved hypothetical protein.","","","","","","","","","AK105373 (DDBJ, Best hit)","A2WKA1 (UniProt)","","","","","","",""
"Os01g0131250","LOC_Os01g04005","OsR498G0100108600.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1632538,1636981,".","-",".","ID=OsR498G0100108600.01;Name=OsR498G0100108600.01;","expressed protein","Os01t0131250-01","Hypothetical gene.","","","","","","","","","AK288735 (DDBJ, Best hit)","longestORF","","","","","","",""
"Os01g0131300","LOC_Os01g04010","OsR498G0100108700.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1637535,1638689,".","+",".","ID=OsR498G0100108700.01;Name=OsR498G0100108700.01;","expressed protein","Os01t0131300-01","Conserved hypothetical protein.","","","","","","","","","AK101998 (DDBJ, Best hit)","A2WKA3 (UniProt)","","","","","","",""
"Os01g0131600","LOC_Os01g04020","OsR498G0100109900.01",1,1,0.00283675108299628,1655941,"Os913",1555941,1755941,3,NA,"IGDBv2","gene",1645062,1647221,".","+",".","ID=OsR498G0100109900.01;Name=OsR498G0100109900.01;","AP2 domain containing protein, expressed","Os01t0131600-01","Hypothetical conserved gene.","","","ERF108","ETHYLENE RESPONSE FACTOR 108","OsAP2, OsERF#108, OsERF108, AP2/EREBP#001, AP2/EREBP1, RD2","APETALA2, ethylene response factor 108, APETALA2/ethylene-responsive element binding protein 1, Rice Drought-responsive gene 2","","","AK063183 (DDBJ, Best hit), AK101133 (DDBJ, Best hit), AK102277 (DDBJ, Best hit), AK119645 (DDBJ, Best hit)","B9EZC3 (UniProt)","","","10229","","","","jasmonic acid sensitivity (TO:0000172) | drought tolerance (TO:0000276)"
