"Locus_ID","LOC","ID.x","CHROM","chain","sig_SNP","sig_SNP_POS","sig_SNP_name","peak_start","peak_end","snps_in_chain","dist.focal.snp","source","feature","start","end","score","strand","frame","descriptor","func","Transcript_ID","Description","RAP.DB.Gene.Symbol.Synonym.s.","RAP.DB.Gene.Name.Synonym.s.","CGSNL.Gene.Symbol","CGSNL.Gene.Name","Oryzabase.Gene.Symbol.Synonym.s.","Oryzabase.Gene.Name.Synonym.s.","GO","InterPro","Transcript.evidence","ORF.evidence","Curation.Date","Literature.PMID","Oryzabase.Trait.Gene.ID","Subcellular.location","Comment","B5toI1","Trait_Oncology"
"Os01g0650900","LOC_Os01g46210","OsR498G0101660500.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27396523,27396843,".","+",".","ID=OsR498G0101660500.01;Name=OsR498G0101660500.01;","GDSL-like lipase%2Facylhydrolase, putative, expressed","Os01t0650900-00","Lipase, GDSL domain containing protein.","","","GELP22","GDSL ESTERASE/LIPASE PROTEIN 22","OsGELP22","GDSL esterase/lipase protein 22","Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)","GDSL lipase/esterase (IPR001087), GDSL lipase/esterase-like, plant (IPR035669), SGNH hydrolase superfamily (IPR036514)","AK375707 (DDBJ)","NP_001043727.1 (RefSeq)","","","10972","","","Exon-intron structures, exon and CDS sequences are different between Build 5 and IRGSP-1.0.",""
"Os01g0650900","LOC_Os01g46210","OsR498G0101661500.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27415926,27421373,".","+",".","ID=OsR498G0101661500.01;Name=OsR498G0101661500.01;","GDSL-like lipase%2Facylhydrolase, putative, expressed","Os01t0650900-00","Lipase, GDSL domain containing protein.","","","GELP22","GDSL ESTERASE/LIPASE PROTEIN 22","OsGELP22","GDSL esterase/lipase protein 22","Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)","GDSL lipase/esterase (IPR001087), GDSL lipase/esterase-like, plant (IPR035669), SGNH hydrolase superfamily (IPR036514)","AK375707 (DDBJ)","NP_001043727.1 (RefSeq)","","","10972","","","Exon-intron structures, exon and CDS sequences are different between Build 5 and IRGSP-1.0.",""
"Os01g0651000","LOC_Os01g46220","OsR498G0101660700.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27399865,27402101,".","+",".","ID=OsR498G0101660700.01;Name=OsR498G0101660700.01;","GDSL-like lipase%2Facylhydrolase, putative, expressed","Os01t0651000-01","Lipase, GDSL domain containing protein.","","","GELP23","GDSL ESTERASE/LIPASE PROTEIN 23","OsGELP23","GDSL esterase/lipase protein 23","Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)","GDSL lipase/esterase (IPR001087), GDSL lipase/esterase-like, plant (IPR035669), SGNH hydrolase superfamily (IPR036514)","AK242032 (DDBJ, Best hit)","Q8RZ48 (UniProt)","","","10973","","","",""
"Os01g0651100","LOC_Os01g46230","OsR498G0101660900.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27402916,27408310,".","+",".","ID=OsR498G0101660900.01;Name=OsR498G0101660900.01;","tetratricopeptide-like helical, putative, expressed","Os01t0651100-01","Pentatricopeptide repeat domain containing protein.","","","PPR35","PENTATRICOPEPTIDE REPEAT PROTEIN 35","OsPPR035, PPR035, OsPPR35","Pentatricopeptide repeat protein 35","Biological Process: RNA modification (GO:0009451), Molecular Function: RNA binding (GO:0003723), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)","Pentatricopeptide repeat (IPR002885), Tetratricopeptide-like helical domain superfamily (IPR011990), DYW domain (IPR032867), Pentatricopeptide repeat-containing protein At1g15510-like (IPR045215), E motif (IPR046848)","AK119380 (DDBJ, Best hit)","B8A6T7 (UniProt)","","","25718","","","CDS sequences are different between Build 5 and IRGSP-1.0.","hydrogen peroxide content (TO:0000605) | drought tolerance (TO:0000276) | salt tolerance (TO:0006001)"
"Os01g0651100","LOC_Os01g46230","OsR498G0101660900.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27402916,27408310,".","+",".","ID=OsR498G0101660900.01;Name=OsR498G0101660900.01;","tetratricopeptide-like helical, putative, expressed","Os01t0651100-02","Pentatricopeptide repeat protein 035, Regulation of mitochondrial RNA editing, Drought tolerance","PPR035","pentatricopeptide repeat protein 035","PPR35","PENTATRICOPEPTIDE REPEAT PROTEIN 35","OsPPR035, PPR035, OsPPR35","Pentatricopeptide repeat protein 35","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)","Pentatricopeptide repeat (IPR002885), Tetratricopeptide-like helical domain superfamily (IPR011990), DYW domain (IPR032867), E motif (IPR046848)","Inferred from literature","Inferred from literature","August 16, 2022","35928709","25718","mitochondrion (GO:0005739)","","","hydrogen peroxide content (TO:0000605) | drought tolerance (TO:0000276) | salt tolerance (TO:0006001)"
"Os01g0651200","LOC_Os01g46250","OsR498G0101661100.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27408848,27412764,".","+",".","ID=OsR498G0101661100.01;Name=OsR498G0101661100.01;","lipase, putative, expressed","Os01t0651200-01","Hypothetical conserved gene.","","","","","OsSTA25","","","","AK288854 (DDBJ, Best hit)","A2WT96 (UniProt)","","","19334","","","",""
"Os01g0651500","LOC_Os01g46270","OsR498G0101661700.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27421681,27422936,".","+",".","ID=OsR498G0101661700.01;Name=OsR498G0101661700.01;","wax synthase isoform 3, putative, expressed","Os01t0651500-00","Wax synthase domain containing protein.","","","","","","","Biological Process: lipid metabolic process (GO:0006629), Molecular Function: O-acyltransferase activity (GO:0008374)","Wax synthase, Magnoliopsida (IPR017088), Wax synthase domain (IPR032805), Wax synthase (IPR044851)","EU959294 (DDBJ)","B6T2S9 (UniProt)","","","","","","",""
"Os01g0651800","LOC_Os01g46290","OsR498G0101662900.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27431038,27434481,".","+",".","ID=OsR498G0101662900.01;Name=OsR498G0101662900.01;","lipase, putative, expressed","Os01t0651800-01","Lipase, class 3 family protein.","","","","","","","Biological Process: lipid metabolic process (GO:0006629), Molecular Function: phospholipase A1 activity (GO:0008970)","Fungal lipase-like domain (IPR002921), Alpha/Beta hydrolase fold (IPR029058), Phospholipase A1-II (IPR033556)","AK102737 (DDBJ, Best hit)","A2WTA0 (UniProt)","","","","","","",""
"Os01g0651932","LOC_Os01g46340","OsR498G0101664300.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27458513,27464347,".","+",".","ID=OsR498G0101664300.01;Name=OsR498G0101664300.01;","chloroplast unusual positioning protein, putative, expressed","Os01t0651932-00","Hypothetical conserved gene.","","","","","","","","Protein CHUP1/IPGA1-like (IPR040265)","ab initio prediction","B9EYD1 (UniProt)","","","","","","",""
"Os01g0652000","LOC_Os01g46340","OsR498G0101664300.01",1,1,0.00603654562335736,27490792,"Os13647",27390792,27590792,1,NA,"IGDBv2","gene",27458513,27464347,".","+",".","ID=OsR498G0101664300.01;Name=OsR498G0101664300.01;","chloroplast unusual positioning protein, putative, expressed","Os01t0652000-01","Similar to proline-rich family protein.","","","","","","","","Protein CHUP1/IPGA1-like (IPR040265)","AK058938 (DDBJ, Best hit)","NP_193591.2 (RefSeq)","","","","","","",""
