"Locus_ID","LOC","ID.x","CHROM","chain","sig_SNP","sig_SNP_POS","sig_SNP_name","peak_start","peak_end","snps_in_chain","dist.focal.snp","source","feature","start","end","score","strand","frame","descriptor","func","Transcript_ID","Description","RAP.DB.Gene.Symbol.Synonym.s.","RAP.DB.Gene.Name.Synonym.s.","CGSNL.Gene.Symbol","CGSNL.Gene.Name","Oryzabase.Gene.Symbol.Synonym.s.","Oryzabase.Gene.Name.Synonym.s.","GO","InterPro","Transcript.evidence","ORF.evidence","Curation.Date","Literature.PMID","Oryzabase.Trait.Gene.ID","Subcellular.location","Comment","B5toI1","Trait_Oncology"
"Os01g0197200","LOC_Os01g10050","OsR498G0100341800.01",1,1,0.00387505617298214,5281292,"Os2556",5181292,5381292,4,NA,"IGDBv2","gene",5181554,5186252,".","-",".","ID=OsR498G0100341800.01;Name=OsR498G0100341800.01;","DEAD-box ATP-dependent RNA helicase, putative, expressed","Os01t0197200-01","Similar to predicted protein.","","","","","OsRH20","RNA helicase 20","Molecular Function: ATP binding (GO:0005524), Molecular Function: RNA helicase activity (GO:0003724), Molecular Function: nucleic acid binding (GO:0003676)","ATP-dependent RNA helicase DEAD-box, conserved site (IPR000629), Helicase, C-terminal (IPR001650), DEAD/DEAH box helicase domain (IPR011545), Helicase superfamily 1/2, ATP-binding domain (IPR014001), RNA helicase, DEAD-box type, Q motif (IPR014014), P-loop containing nucleoside triphosphate hydrolase (IPR027417)","AK243305 (DDBJ, Best hit)","A2Q465 (UniProt)","","","19135","","","",""
"Os01g0197400","LOC_Os01g10080","OsR498G0100343500.01",1,1,0.00387505617298214,5281292,"Os2556",5181292,5381292,4,NA,"IGDBv2","gene",5204138,5208675,".","+",".","ID=OsR498G0100343500.01;Name=OsR498G0100343500.01;","expressed protein","Os01t0197400-01","Conserved hypothetical protein.","","","","","","","","","AK102992 (DDBJ, Best hit)","A2WLP7 (UniProt)","","","","","","",""
"Os01g0197450","LOC_Os01g10090","OsR498G0100343800.01",1,1,0.00387505617298214,5281292,"Os2556",5181292,5381292,4,NA,"IGDBv2","gene",5208825,5210684,".","-",".","ID=OsR498G0100343800.01;Name=OsR498G0100343800.01;","pentatricopeptide, putative, expressed","Os01t0197450-00","Pentatricopeptide repeat domain containing protein.","","","","","","","Biological Process: RNA modification (GO:0009451), Molecular Function: RNA binding (GO:0003723), Molecular Function: protein binding (GO:0005515)","Pentatricopeptide repeat (IPR002885), Tetratricopeptide-like helical domain superfamily (IPR011990), Pentatricopeptide repeat-containing protein At1g15510-like (IPR045215), E motif (IPR046848)","BT064027 (DDBJ)","NP_001042300.2 (RefSeq)","","","","","","",""
"Os01g0197500","LOC_Os01g10100","OsR498G0100344000.01",1,1,0.00387505617298214,5281292,"Os2556",5181292,5381292,4,NA,"IGDBv2","gene",5211013,5213792,".","-",".","ID=OsR498G0100344000.01;Name=OsR498G0100344000.01;","expressed protein","Os01t0197500-00","Similar to predicted protein.","","","","","","","","","CT834961 (DDBJ, Best hit)","NP_177275.1 (RefSeq)","","","","","","",""
"Os01g0197700","LOC_Os01g10110","OsR498G0100344200.01",1,1,0.00387505617298214,5281292,"Os2556",5181292,5381292,4,NA,"IGDBv2","gene",5217905,5222931,".","-",".","ID=OsR498G0100344200.01;Name=OsR498G0100344200.01;","cytokinin dehydrogenase precursor, putative, expressed","Os01t0197700-01","Cytokinin oxidase/dehydrogenase, Regulation of grain production","Gn1a, OsCKX2","Cytokinin oxidase/dehydrogenase 2","GN1A","GRAIN NUMBER 1A","Gn1a, OsCKX2, CKX2, ckx2, Gn1a/OsCKX2, Os CKX2, CKX2/Gn1a","Cytokinin oxidase/dehydrogenase 2, grain number 1a, cytokinin oxidase 2, Grain number 1a/Cytokinin oxidase 2, Grain number 1 a","Biological Process: cytokinin metabolic process (GO:0009690), Molecular Function: FAD binding (GO:0071949), Molecular Function: catalytic activity (GO:0003824), Molecular Function: cytokinin dehydrogenase activity (GO:0019139), Molecular Function: flavin adenine dinucleotide binding (GO:0050660)","FAD linked oxidase, N-terminal (IPR006094), Cytokinin dehydrogenase 1, FAD/cytokinin binding domain (IPR015345), FAD-linked oxidase-like, C-terminal (IPR016164), FAD-binding domain, PCMH-type (IPR016166), FAD-binding, type PCMH, subdomain 1 (IPR016167), FAD-binding, type PCMH, subdomain 2 (IPR016169), Cytokinin dehydrogenase, C-terminal domain superfamily (IPR016170), FAD-binding, type PCMH-like superfamily (IPR036318)","AK243684, AB205193 (Koshihikari)","Q4ADV8","August 2, 2017","15976269","6047","","","","spikelet number (TO:0000456) | plant height (TO:0000207) | harvest index (TO:0000128) | cell membrane stability (TO:0000467) | photosynthetic ability (TO:0000316) | inflorescence branching (TO:0000050) | vegetative vigor (TO:0000296) | inflorescence development trait (TO:0000621) | relative water content (TO:0000136) | chlorophyll content (TO:0000495) | grain number (TO:0002759) | grain number per plant (TO:0000440) | carotenoid content (TO:0000496) | panicle number (TO:0000152) | primary branching of inflorescence (TO:0000052) | 1000-seed weight (TO:0000382) | panicle length (TO:0000040) | secondary branching of inflorescence (TO:0000142) | grain weight (TO:0000590) | salt tolerance (TO:0006001) | cytokinin content (TO:0002660) | cytokinin sensitivity (TO:0000167) | grain yield (TO:0000396)"
"Os01g0198000","LOC_Os01g10140","OsR498G0100345200.01",1,1,0.00387505617298214,5281292,"Os2556",5181292,5381292,4,NA,"IGDBv2","gene",5252256,5269503,".","-",".","ID=OsR498G0100345200.01;Name=OsR498G0100345200.01;","RNA-dependent RNA polymerase, putative, expressed","Os01t0198000-01","&gamma;-clade RNA-dependent RNA polymerase 4, Rice growth and development","OsRDR4","RNA-dependent RNA polymerase 4","RDR4","RNA-DEPENDENT RNA POLYMERASE 4","OsRDR4, OsRDR3b","RNA-dependent RNA polymerase 4, Probable RNA-dependent RNA polymerase 4","Molecular Function: RNA-dependent RNA polymerase activity (GO:0003968)","RNA-dependent RNA polymerase, eukaryotic-type (IPR007855)","AK064209 (truncated), AK119908 (truncated), Q5QMN4 (UniProt)","Q5QMN4","August 30, 2021","34449900","8345","","","Exon-intron structures, exon and CDS sequences are different between Build 5 and IRGSP-1.0.",""
"Os01g0198200","LOC_Os01g10150","OsR498G0100345600.01",1,1,0.00387505617298214,5281292,"Os2556",5181292,5381292,4,NA,"IGDBv2","gene",5274879,5281641,".","-",".","ID=OsR498G0100345600.01;Name=OsR498G0100345600.01;","CK1_CaseinKinase_1a.1 - CK1 includes the casein kinase 1 kinases, expressed","Os01t0198200-02","Similar to predicted protein.","","","","","","","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: ATP binding (GO:0005524), Molecular Function: protein kinase activity (GO:0004672)","Protein kinase domain (IPR000719), Serine/threonine-protein kinase, active site (IPR008271), Protein kinase-like domain superfamily (IPR011009)","AK060271 (DDBJ, Best hit)","D8V7I8 (UniProt)","","","","","","",""
"Os01g0198200","LOC_Os01g10150","OsR498G0100345600.01",1,1,0.00387505617298214,5281292,"Os2556",5181292,5381292,4,NA,"IGDBv2","gene",5274879,5281641,".","-",".","ID=OsR498G0100345600.01;Name=OsR498G0100345600.01;","CK1_CaseinKinase_1a.1 - CK1 includes the casein kinase 1 kinases, expressed","Os01t0198200-01","Similar to Casein kinase-like protein.","","","","","","","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: ATP binding (GO:0005524), Molecular Function: protein kinase activity (GO:0004672)","Protein kinase domain (IPR000719), Serine/threonine-protein kinase, active site (IPR008271), Protein kinase-like domain superfamily (IPR011009)","AK103403 (DDBJ, Best hit)","D8V7I8 (UniProt)","","","","","","",""
"Os01g0198200","LOC_Os01g10150","OsR498G0100345600.01",1,1,0.00387505617298214,5281292,"Os2556",5181292,5381292,4,NA,"IGDBv2","gene",5274879,5281641,".","-",".","ID=OsR498G0100345600.01;Name=OsR498G0100345600.01;","CK1_CaseinKinase_1a.1 - CK1 includes the casein kinase 1 kinases, expressed","Os01t0198200-03","Similar to predicted protein.","","","","","","","","","AK099617 (DDBJ, Best hit)","D8V7I8 (UniProt)","","","","","","",""
"Os01g0198500","LOC_Os01g10180","OsR498G0100346600.01",1,1,0.00387505617298214,5281292,"Os2556",5181292,5381292,4,NA,"IGDBv2","gene",5300070,5301311,".","-",".","ID=OsR498G0100346600.01;Name=OsR498G0100346600.01;","avr9%2FCf-9 rapidly elicited protein 146, putative, expressed","Os01t0198500-01","Conserved hypothetical protein.","","","","","","","","","AK108464 (DDBJ, Best hit)","A2WLQ4 (UniProt)","","","","","","",""
