index,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Genes,Name,Gene List
0,gs_ind_0,osa00030,1/57,0.042853030300000004,0.0774830422,34.6259094942,LOC4347508,Pentose phosphate pathway - Oryza sativa japonica (Japanese rice),LOC_Os09g32810
1,gs_ind_0,osa00040,1/75,0.0560153117,0.0782496224,26.3561292066,LOC4347508,Pentose and glucuronate interconversions - Oryza sativa japonica (Japanese rice),LOC_Os09g32810
2,gs_ind_0,osa00053,1/63,0.047259912,0.0774830422,31.3483850233,LOC4347499,Ascorbate and aldarate metabolism - Oryza sativa japonica (Japanese rice),LOC_Os09g32670
3,gs_ind_0,osa00061,1/46,0.0347228726,0.0774830422,42.8314680711,LOC4347505,Fatty acid biosynthesis - Oryza sativa japonica (Japanese rice),LOC_Os09g32760
4,gs_ind_0,osa00071,1/54,0.040642257800000005,0.0774830422,36.5352930163,LOC4327088,Fatty acid degradation - Oryza sativa japonica (Japanese rice),LOC_Os01g10830
5,gs_ind_0,osa00230,2/95,0.002416604,0.030934543300000002,36.1830232817,LOC4327345;LOC4334073,Purine metabolism - Oryza sativa japonica (Japanese rice),LOC_Os01g10280;LOC_Os03g53230
6,gs_ind_0,osa00240,1/64,0.047992496,0.0774830422,30.8614143332,LOC4347509,Pyrimidine metabolism - Oryza sativa japonica (Japanese rice),LOC_Os09g32820
7,gs_ind_0,osa00261,1/12,0.0091720039,0.0642040276,159.4995918367,LOC4334073,Monobactam biosynthesis - Oryza sativa japonica (Japanese rice),LOC_Os03g53230
8,gs_ind_0,osa00270,1/126,0.092371587,0.11148294980000001,15.7056545939,LOC4327097,Cysteine and methionine metabolism - Oryza sativa japonica (Japanese rice),LOC_Os01g10940
9,gs_ind_0,osa00450,1/19,0.0144849863,0.0774830422,102.2213500785,LOC4334073,Selenocompound metabolism - Oryza sativa japonica (Japanese rice),LOC_Os03g53230
10,gs_ind_0,osa00520,1/160,0.1158581803,0.1308076229,12.3656303643,LOC4347499,Amino sugar and nucleotide sugar metabolism - Oryza sativa japonica (Japanese rice),LOC_Os09g32670
